timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,introre_area,type,traffic_area_ratio,cc_transactions_instore_transactions_ratio,cc_transactions_traffic_ratio,cc_transactions_area_ratio,instore_transactions_area_ratio
1,E16,1,73,11.36363636,0.15703098,1200.590909,2609.863636,0.473403746,3903,E,0.668681434,0.060803392,0.02797081,0.018703561,0.307607202
1,P03,2,82.95454545,12.27272727,0.151773128,1535.227273,3135.636364,0.500963006,5000,P,0.627127273,0.054034049,0.02645541,0.016590909,0.307045455
1,P04,3,104.4090909,22.59090909,0.216623512,1281.454545,2668.954545,0.484297595,1910,P,1.397358401,0.081477015,0.039119846,0.054664446,0.67091861
1,P05,4,113.8181818,19.68181818,0.175634913,1462.772727,3089.954545,0.481795586,3500,P,0.882844156,0.077809888,0.036834905,0.032519481,0.417935065
1,P06,5,78.40909091,16.13636364,0.207996369,1531.090909,3500.409091,0.445685438,3634,P,0.963238605,0.051211258,0.022399979,0.021576525,0.421323861
1,P07,6,86.09090909,18.04545455,0.215017208,1162.136364,2441.363636,0.483970744,1907,P,1.28021166,0.074079869,0.035263452,0.045144682,0.609405539
1,E17,7,69.09090909,10.5,0.160159501,1025.454545,2239.318182,0.4658331,1882,E,1.189860883,0.067375887,0.030853547,0.036711429,0.544874891
1,P08,8,113.6363636,22.77272727,0.201985098,1685.590909,3675.909091,0.476166764,5991,P,0.613571873,0.067416336,0.030913812,0.018967846,0.281353849
1,P09,9,157.2272727,34.63636364,0.223899741,1564.045455,3097.409091,0.509701088,4624,P,0.669854907,0.100526025,0.0507609,0.034002438,0.338245124
1,E01,10,51.54545455,6.5,0.129960986,459.4545455,1119.5,0.417181227,800,E,1.399375,0.112188366,0.046043282,0.064431818,0.574318182
1,P01,11,100.5909091,16.54545455,0.164703951,1221.272727,2947.136364,0.423255808,2790,P,1.056321277,0.082365639,0.034131746,0.036054089,0.43773216
1,E02,12,59.5,8.727272727,0.148310767,649,1473.5,0.447349857,1375,E,1.071636364,0.091679507,0.040380048,0.043272727,0.472
1,P02,13,108.8636364,10.59090909,0.098669545,1060.727273,2594.045455,0.418946921,1850,P,1.402186732,0.102631128,0.041966742,0.058845209,0.573366093
1,E03,14,45.22727273,6.727272727,0.160744087,579.7727273,1449.454545,0.40524407,1507,E,0.961814562,0.078008624,0.03120296,0.030011462,0.384719792
1,E04,15,110.3181818,23.63636364,0.214293737,1001.772727,2076.272727,0.489578637,2118,E,0.980298738,0.110122964,0.053132799,0.052086016,0.472980513
1,E05,16,25.09090909,5.681818182,0.236906654,396.9090909,863.7727273,0.460673211,1300,E,0.664440559,0.063215758,0.029048045,0.019300699,0.305314685
1,E06,17,78.36363636,11.59090909,0.146643539,801.8181818,1943.636364,0.41434235,1658,E,1.172277662,0.097732426,0.040318054,0.047263954,0.483605659
1,E07,18,42.77272727,6.5,0.14982876,515.3636364,1315.545455,0.395613524,1291,E,1.019012746,0.082995237,0.032513302,0.03313147,0.39919724
1,E08,19,68.86363636,9.954545455,0.145653972,1028.772727,2791.863636,0.375902603,1740,E,1.604519331,0.066937657,0.024665831,0.039576803,0.591248694
1,E09,20,34.95454545,4.454545455,0.135364373,483.5,1139.590909,0.428976123,1194,E,0.954431247,0.07229482,0.030672889,0.029275164,0.404941374
1,E10,21,55.09090909,8.5,0.156790965,460,1132.227273,0.406657897,1194,E,0.948264048,0.119762846,0.048657112,0.04613979,0.385259631
1,E11,22,57.68181818,9.272727273,0.167834709,583.4090909,1408.681818,0.419027397,1580,E,0.891570771,0.098870277,0.040947372,0.03650748,0.36924626
1,E12,23,80.31818182,12.68181818,0.157330391,892.8636364,1924.727273,0.471800317,2096,E,0.918285913,0.089955709,0.041729643,0.038319743,0.425984559
1,E13,24,112.8636364,10.72727273,0.097521299,979.7272727,2324.5,0.422751127,1555,E,1.494855305,0.115199035,0.048553941,0.072581117,0.630049693
1,E14,25,46,8.136363636,0.179768613,529.6363636,1329,0.404669035,1465,E,0.907167235,0.086852043,0.034612491,0.031399317,0.361526528
2,E16,1,60.46666667,11.5,0.189081125,1158.466667,2355.3,0.50246275,3903,E,0.603458878,0.052195431,0.025672597,0.015492356,0.296814416
